lambda	amp
695.323	0.000
695.501	0.000
695.678	0.000
695.856	0.006
696.033	0.012
696.211	0.026
696.388	0.020
696.566	0.026
696.743	0.022
696.920	0.024
697.098	0.026
697.275	0.029
697.452	0.031
697.629	0.032
697.807	0.033
697.984	0.034
698.161	0.034
698.338	0.034
698.515	0.034
698.692	0.036
698.869	0.036
699.046	0.036
699.222	0.036
699.399	0.035
699.576	0.034
699.753	0.033
699.929	0.033
700.106	0.033
700.283	0.032
700.459	0.032
700.636	0.032
700.812	0.032
700.989	0.032
701.165	0.031
701.342	0.031
701.518	0.032
701.694	0.030
701.870	0.029
702.047	0.030
702.223	0.030
702.399	0.030
702.575	0.031
702.751	0.031
702.927	0.030
703.103	0.030
703.279	0.030
703.455	0.030
703.631	0.030
703.807	0.029
703.983	0.029
704.159	0.028
704.334	0.029
704.510	0.029
704.686	0.030
704.861	0.030
705.037	0.029
705.212	0.030
705.388	0.030
705.563	0.030
705.739	0.029
705.914	0.029
706.090	0.030
706.265	0.029
706.440	0.029
706.615	0.029
706.791	0.029
706.966	0.029
707.141	0.030
707.316	0.029
707.491	0.029
707.666	0.028
707.841	0.028
708.016	0.026
708.191	0.025
708.366	0.025
708.541	0.025
708.715	0.025
708.890	0.025
709.065	0.026
709.240	0.026
709.414	0.026
709.589	0.026
709.763	0.026
709.938	0.026
710.112	0.026
710.287	0.027
710.461	0.026
710.636	0.027
710.810	0.028
710.984	0.029
711.158	0.029
711.333	0.030
711.507	0.030
711.681	0.029
711.855	0.029
712.029	0.028
712.203	0.027
712.377	0.027
712.551	0.028
712.725	0.028
712.899	0.027
713.073	0.027
713.246	0.028
713.420	0.028
713.594	0.028
713.768	0.029
713.941	0.028
714.115	0.029
714.288	0.028
714.462	0.028
714.635	0.028
714.809	0.028
714.982	0.028
715.156	0.027
715.329	0.027
715.502	0.026
715.676	0.027
715.849	0.028
716.022	0.028
716.195	0.028
716.368	0.027
716.541	0.027
716.714	0.027
716.887	0.027
717.060	0.027
717.233	0.028
717.406	0.029
717.579	0.029
717.752	0.029
717.924	0.030
718.097	0.031
718.270	0.031
718.443	0.032
718.615	0.032
718.788	0.033
718.960	0.032
719.133	0.032
719.305	0.030
719.478	0.030
719.650	0.029
719.822	0.030
719.995	0.031
720.167	0.030
720.339	0.029
720.511	0.029
720.684	0.028
720.856	0.028
721.028	0.028
721.200	0.028
721.372	0.028
721.544	0.026
721.716	0.027
721.888	0.027
722.059	0.027
722.231	0.028
722.403	0.029
722.575	0.030
722.746	0.029
722.918	0.029
723.090	0.030
723.261	0.030
723.433	0.030
723.604	0.030
723.776	0.030
723.947	0.030
724.119	0.030
724.290	0.030
724.461	0.030
724.633	0.029
724.804	0.029
724.975	0.028
725.146	0.028
725.317	0.027
725.488	0.027
725.659	0.027
725.831	0.027
726.001	0.027
726.172	0.027
726.343	0.027
726.514	0.027
726.685	0.027
726.856	0.026
727.026	0.026
727.197	0.027
727.368	0.028
727.539	0.028
727.709	0.029
727.880	0.030
728.050	0.030
728.221	0.030
728.391	0.030
728.561	0.029
728.732	0.028
728.902	0.029
729.072	0.029
729.243	0.029
729.413	0.030
729.583	0.030
729.753	0.031
729.923	0.031
730.093	0.031
730.263	0.032
730.433	0.033
730.603	0.032
730.773	0.031
730.943	0.031
731.113	0.030
731.283	0.030
731.452	0.029
731.622	0.029
731.792	0.027
731.961	0.027
732.131	0.027
732.301	0.027
732.470	0.026
732.640	0.026
732.809	0.025
732.979	0.026
733.148	0.025
733.317	0.025
733.487	0.026
733.656	0.027
733.825	0.029
733.994	0.030
734.163	0.031
734.332	0.031
734.501	0.031
734.671	0.032
734.839	0.031
735.008	0.032
735.177	0.032
735.346	0.032
735.515	0.031
735.684	0.032
735.853	0.032
736.021	0.032
736.190	0.032
736.359	0.031
736.527	0.031
736.696	0.029
736.864	0.029
737.033	0.029
737.201	0.029
737.370	0.031
737.538	0.031
737.706	0.032
737.875	0.032
738.043	0.032
738.211	0.032
738.379	0.033
738.548	0.033
738.716	0.032
738.884	0.031
739.052	0.031
739.220	0.031
739.388	0.032
739.556	0.031
739.724	0.032
739.891	0.032
740.059	0.033
740.227	0.032
740.395	0.031
740.562	0.032
740.730	0.031
740.898	0.032
741.065	0.032
741.233	0.032
741.400	0.033
741.568	0.034
741.735	0.035
741.903	0.036
742.070	0.035
742.237	0.035
742.405	0.034
742.572	0.035
742.739	0.034
742.906	0.032
743.073	0.033
743.240	0.032
743.407	0.032
743.574	0.033
743.741	0.035
743.908	0.036
744.075	0.035
744.242	0.034
744.409	0.033
744.576	0.033
744.742	0.032
744.909	0.031
745.076	0.032
745.242	0.033
745.409	0.033
745.576	0.033
745.742	0.033
745.909	0.033
746.075	0.034
746.241	0.033
746.408	0.033
746.574	0.030
746.740	0.030
746.906	0.030
747.073	0.029
747.239	0.030
747.405	0.030
747.571	0.029
747.737	0.029
747.903	0.030
748.069	0.030
748.235	0.030
748.401	0.030
748.567	0.030
748.733	0.029
748.898	0.029
749.064	0.030
749.230	0.030
749.396	0.030
749.561	0.029
749.727	0.029
749.892	0.030
750.058	0.030
750.223	0.030
750.389	0.030
750.554	0.031
750.720	0.030
750.885	0.030
751.050	0.032
751.215	0.032
751.381	0.033
751.546	0.035
751.711	0.037
751.876	0.037
752.041	0.038
752.206	0.040
752.371	0.040
