X	Y
0.000	3.600
1.400	4.202
2.800	4.899
4.200	4.706
5.600	5.500
7.000	5.506
8.400	6.003
9.800	6.192
11.200	5.713
12.600	6.381
14.000	5.500
15.400	5.508
16.800	5.797
18.200	5.685
19.600	5.207
21.000	5.414
22.400	5.796
23.800	5.728
25.200	6.396
26.600	6.358
28.000	7.642
29.400	8.530
30.800	9.146
32.200	10.011
33.600	10.222
35.000	10.641
36.400	11.330
37.800	11.787
39.200	11.607
40.600	11.693
42.000	11.551
43.400	10.878
44.800	10.540
46.200	9.815
47.600	10.024
49.000	10.226
50.400	9.400
51.800	9.530
53.200	10.936
54.600	11.364
56.000	12.084
57.400	12.967
58.800	13.777
60.200	15.481
61.600	16.272
63.000	16.858
64.400	16.511
65.800	16.435
67.200	15.122
68.600	15.105
70.000	13.436
71.400	12.033
72.800	10.678
74.200	9.626
75.600	8.387
77.000	8.210
78.400	7.744
79.800	9.007
81.200	11.312
82.600	13.853
84.000	18.031
85.400	23.100
86.800	27.571
88.200	33.629
89.600	40.019
91.000	46.515
92.400	51.613
93.800	58.202
95.200	61.744
96.600	66.265
98.000	66.911
99.400	68.034
100.800	65.548
102.200	64.099
103.600	59.938
105.000	55.281
106.400	49.272
107.800	42.554
109.200	36.667
110.600	30.675
112.000	25.738
113.400	21.526
114.800	19.212
116.200	18.253
117.600	19.851
119.000	23.195
120.400	29.151
121.800	37.663
123.200	49.517
124.600	62.518
126.000	76.256
127.400	89.972
128.800	107.003
130.200	121.610
131.600	137.331
133.000	154.504
134.400	169.528
135.800	180.467
137.200	191.472
138.600	201.674
140.000	211.230
141.400	215.830
142.800	220.326
144.200	222.965
145.600	226.244
147.000	226.164
148.400	222.384
149.800	217.397
151.200	211.477
152.600	203.688
154.000	196.287
155.400	187.938
156.800	178.772
158.200	168.083
159.600	157.591
161.000	148.649
162.400	137.519
163.800	127.340
165.200	115.522
166.600	104.636
168.000	95.021
169.400	84.481
170.800	74.843
172.200	67.097
173.600	59.432
175.000	51.468
176.400	44.970
177.800	38.934
179.200	33.411
180.600	28.280
182.000	24.117
183.400	20.628
184.800	16.434
186.200	13.877
187.600	11.966
189.000	10.010
190.400	7.759
191.800	6.311
193.200	5.377
194.600	4.537
196.000	3.938
197.400	3.268
198.800	2.867
200.200	2.399
201.600	2.067
203.000	1.996
204.400	1.737
205.800	2.000
207.200	1.896
208.600	1.735
210.000	1.870
211.400	1.929
212.800	1.800
214.200	1.872
215.600	1.892
217.000	1.664
218.400	1.746
219.800	2.000
221.200	2.037
222.600	2.212
224.000	2.288
225.400	1.949
226.800	1.776
228.200	1.900
229.600	1.938
231.000	2.039
232.400	2.139
233.800	1.965
235.200	1.757
236.600	2.000
238.000	2.000
239.400	1.880
240.800	1.660
242.200	1.681
243.600	1.556
245.000	1.487
246.400	1.694
247.800	1.359
249.200	1.342
250.600	1.316
252.000	1.284
253.400	1.358
254.800	1.470
256.200	1.614
257.600	1.371
259.000	1.027
260.400	1.236
261.800	1.493
263.200	1.232
264.600	1.356
266.000	1.211
267.400	1.234
268.800	1.220
270.200	1.090
271.600	1.155
273.000	1.100
274.400	1.100
275.800	1.100
277.200	1.239
278.600	1.167
280.000	1.041
281.400	1.153
282.800	1.431
284.200	1.610
285.600	1.304
287.000	1.152
288.400	1.052
289.800	1.194
291.200	1.400
292.600	1.253
294.000	1.149
295.400	1.348
296.800	1.450
298.200	1.250
